200.055987438,181.340389543,177.659804604,174.26925207,171.586626642
183.629478607,178.499734039,175.801677246,172.160594635,170.252797699
199.980136247,181.272387002,177.636167186,174.265887423,171.58809881
182.900638428,178.564467926,176.668198853,172.081386719,169.99608429
199.984738936,181.27235912,177.661351568,174.299090632,171.614697044
183.378341522,178.140652618,175.111737823,173.243912964,169.827371216
199.982446622,181.292100164,177.678929943,174.27682165,171.583214805
184.047082062,178.194410095,175.563490448,172.912772369,170.85908905
199.981784363,181.276479437,177.680690363,174.291838878,171.619605657,169.397302856,167.501547519,166.076755232,164.954282282,163.937065263,162.982729215,162.063834589,161.258084301,160.53046764,159.898638999,159.34043199,158.782924777,158.268979797,157.839040167,157.442557845,157.043489907,156.709993203,156.369880815,156.084438615,155.837300609,155.577163169,155.323071539,155.098600991,154.881855885,154.664686473,154.461321522,154.295331116,154.095813377,153.922650313,153.727671481,153.574598278,153.430343961,153.272235746,153.086493114,153.007701638,152.859232649,152.709711276,152.560483509,152.480695301,152.342759427,152.239766374,152.146927879,152.02420216,151.933324585,151.8481963
186.213228302,178.096122131,175.44472168,172.80127243,171.714267426,167.864922943,168.100198364,165.06928833,164.050270386,163.853946991,162.403690186,162.858388367,161.285222626,161.717023621,160.544680481,158.800002136,158.844132385,158.377719269,157.703404236,157.498180084,156.634272156,157.160475159,157.434272919,157.270130157,157.293304749,157.409819946,155.969721222,157.746472931,155.617207794,156.402920532,154.830910492,156.305331573,154.570108337,153.488469391,154.587187347,153.429207306,154.31794632,154.522305756,154.106709747,154.238587189,153.386739807,158.489808807,153.725063782,152.562847137,157.320313568,152.265043945,154.300258484,153.996470337,151.990706329,153.277353058
